nome	issn1	issn2
Revista Brasileira de Saúde Materno Infantil	15193829	18069304
Revista Brasileira de Saúde Ocupacional	03037657	23176369
Revista Brasileira de Terapia Intensiva	0103507X	19824335
Revista Brasileira de Zootecnia	15163598	18069290
Revista Caatinga	0100316X	19832125
Revista CEFAC	15161846	19820216
Revista Ceres	0034737X	21773491
Revista Ciência Agronômica	00456888	18066690
Revista Contabilidade & Finanças	15197077	1808057X
Revista da Associação Médica Brasileira	01044230	18069282
Revista da Escola de Enfermagem da USP	00806234	1980220X
Revista da Sociedade Brasileira de Medicina Tropical	00378682	16789849
Revista de Administração Contemporânea	14156555	19827849
Revista de Administração de Empresas	00347590	2178938X
Revista de Administração Pública	00347612	19823134
Revista de Economia Contemporânea	14159848	19805527
Revista de Economia e Sociologia Rural	01032003	18069479
Revista de História (São Paulo)	00348309	23169141
Revista de Investigações Constitucionais	23595639	NA
Revista de Nutrição	14155273	16789865
Revista de Odontologia da UNESP	01011774	18072577
Revista de Saúde Pública	00348910	15188787
Revista de Sociologia e Política	01044478	16789873
Revista Direito e Práxis	21798966	NA
Revista Direito GV	23176172	NA
Revista do Colégio Brasileiro de Cirurgiões	01006991	18094546
Revista do Instituto de Estudos Brasileiros	00203874	2316901X
Revista do Instituto de Medicina Tropical de São Paulo	16789946	NA
Revista Estudos Feministas	0104026X	18069584
Revista Gaúcha de Enfermagem	19831447	NA
Revista IBRACON de Estruturas e Materiais	19834195	NA
Revista Katálysis	19820259	NA
Revista Latino-Americana de Enfermagem	15188345	NA
Revista Latinoamericana de Psicopatologia Fundamental	14154714	19840381
Revista Paulista de Pediatria	01030582	19840462
RGO - Revista Gaúcha de Odontologia	19818637	19818637
Rodriguésia	03706583	21757860
Sao Paulo Medical Journal	15163180	18069460
Saúde e Sociedade	01041290	19840470
Saúde em Debate	01031104	23582898
Scientia Agricola	1678992X	NA
Sequência (Florianópolis)	01019562	21777055
Serviço Social & Sociedade	01016628	23176318
Sexualidad, Salud y Sociedad (Rio de Janeiro)	19846487	NA
Sociedade e Estado	01026992	19805462
Sociologia & Antropologia	22367527	22383875
Sociologias	15174522	18070337
Soldagem & Inspeção	01049224	19806973
Summa Phytopathologica	01005405	19805454
TEMA (São Carlos)	16771966	21798451
Tempo	14137704	1980542X
Tempo Social	01032070	18094554
Texto & Contexto - Enfermagem	01040707	1980265X
Topoi (Rio de Janeiro)	15183319	2237101X
Trabalho, Educação e Saúde	16781007	19817746
Trabalhos em Linguística Aplicada	2175764X	NA
Transinformação	01033786	23180889
Trends in Psychiatry and Psychotherapy	22376089	22380019
Trends in Psychology	23581883	NA
urbe. Revista Brasileira de Gestão Urbana	21753369	NA
Varia Historia	01048775	19824343
Vibrant: Virtual Brazilian Anthropology	18094341	NA
Zoologia (Curitiba)	19844670	19844689
